annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
DHC_N2	13	9	15144	1890	3.21652352464135e-06	0.00302031558963823
AAA_7	12	8	15144	1890	1.80203469723099e-05	0.0033842211613998
AAA_9	12	8	15144	1890	1.80203469723099e-05	0.0033842211613998
Dynein_heavy	12	8	15144	1890	1.80203469723099e-05	0.0033842211613998
MT	12	8	15144	1890	1.80203469723099e-05	0.0033842211613998
AAA_6	11	7	15144	1890	9.73304749277428e-05	0.0130561879938786
AAA_8	11	7	15144	1890	9.73304749277428e-05	0.0130561879938786
DUF753	4	4	15144	1890	0.000241923093713271	0.0283957231245952
EcKinase	45	14	15144	1890	0.000815830251560719	0.0766064606215516
Homeobox	87	22	15144	1890	0.000811031571796234	0.0766064606215516
ARL2_Bind_BART	3	3	15144	1890	0.0019411539808758	0.130195970574456
DUF1126	3	3	15144	1890	0.0019411539808758	0.130195970574456
KIAA1430	3	3	15144	1890	0.0019411539808758	0.130195970574456
zf-MYND	38	12	15144	1890	0.00164057877641992	0.130195970574456
cNMP_binding	17	7	15144	1890	0.00290046406731673	0.181569050614028
Gal-bind_lectin	10	5	15144	1890	0.00440845112905909	0.258720975636655
AAA_5	11	5	15144	1890	0.00725782793350621	0.262119247290859
CLASP_N	4	3	15144	1890	0.00703884664236338	0.262119247290859
FMO-like	4	3	15144	1890	0.00703884664236338	0.262119247290859
OATP	7	4	15144	1890	0.00618916720524218	0.262119247290859
SGL	4	3	15144	1890	0.00703884664236338	0.262119247290859
SNF	19	7	15144	1890	0.00599988432659672	0.262119247290859
Solute_trans_a	4	3	15144	1890	0.00703884664236338	0.262119247290859
Tektin	4	3	15144	1890	0.00703884664236338	0.262119247290859
zf-LITAF-like	7	4	15144	1890	0.00618916720524218	0.262119247290859
zf-RING_2	23	8	15144	1890	0.00502204342185718	0.262119247290859
SET	40	11	15144	1890	0.00816431310733463	0.283936666955082
MFS_1	63	15	15144	1890	0.0093786382918088	0.314519334143159
BK_channel_a	2	2	15144	1890	0.0155683016834859	0.31779641914768
Chibby	2	2	15144	1890	0.0155683016834859	0.31779641914768
COE1_DBD	2	2	15144	1890	0.0155683016834859	0.31779641914768
Cytochrom_B561	8	4	15144	1890	0.0111620158534399	0.31779641914768
DHC_N1	8	4	15144	1890	0.0111620158534399	0.31779641914768
DUF4729	2	2	15144	1890	0.0155683016834859	0.31779641914768
Dynein_light	2	2	15144	1890	0.0155683016834859	0.31779641914768
EF-hand_7	47	12	15144	1890	0.0109394968182488	0.31779641914768
Gate	2	2	15144	1890	0.0155683016834859	0.31779641914768
Nrf1_DNA-bind	2	2	15144	1890	0.0155683016834859	0.31779641914768
NT-C2	2	2	15144	1890	0.0155683016834859	0.31779641914768
Nucleos_tra2_C	2	2	15144	1890	0.0155683016834859	0.31779641914768
Nucleos_tra2_N	2	2	15144	1890	0.0155683016834859	0.31779641914768
NYD-SP28	2	2	15144	1890	0.0155683016834859	0.31779641914768
SHIPPO-rpt	2	2	15144	1890	0.0155683016834859	0.31779641914768
TPH	2	2	15144	1890	0.0155683016834859	0.31779641914768
Tubulin	12	5	15144	1890	0.011177681262168	0.31779641914768
Tubulin_C	12	5	15144	1890	0.011177681262168	0.31779641914768
Carb_anhydrase	13	5	15144	1890	0.0163250144347277	0.326152947961901
2-oxogl_dehyd_N	1	1	15144	1890	0.124801901743264	0.331980129566359
AA_permease_C	4	2	15144	1890	0.0786063475350488	0.331980129566359
ABC2_membrane_3	11	4	15144	1890	0.0387101823463581	0.331980129566359
Acetyltransf_16	1	1	15144	1890	0.124801901743264	0.331980129566359
Acyltransferase	17	5	15144	1890	0.0514478528347355	0.331980129566359
ADH_N	10	4	15144	1890	0.0272729625598665	0.331980129566359
ADH_zinc_N	14	4	15144	1890	0.0868277003017487	0.331980129566359
ADP_PFK_GK	1	1	15144	1890	0.124801901743264	0.331980129566359
AFG1_ATPase	1	1	15144	1890	0.124801901743264	0.331980129566359
AI-2E_transport	1	1	15144	1890	0.124801901743264	0.331980129566359
AIF_C	1	1	15144	1890	0.124801901743264	0.331980129566359
AIP3	1	1	15144	1890	0.124801901743264	0.331980129566359
Ald_Xan_dh_C	10	3	15144	1890	0.119001041123069	0.331980129566359
Ald_Xan_dh_C2	10	3	15144	1890	0.119001041123069	0.331980129566359
ALG11_N	1	1	15144	1890	0.124801901743264	0.331980129566359
Allantoicase	1	1	15144	1890	0.124801901743264	0.331980129566359
Allatostatin	1	1	15144	1890	0.124801901743264	0.331980129566359
Alpha-mann_mid	5	2	15144	1890	0.120368237531961	0.331980129566359
AMOP	1	1	15144	1890	0.124801901743264	0.331980129566359
ANAPC2	1	1	15144	1890	0.124801901743264	0.331980129566359
ANF_receptor	20	5	15144	1890	0.0943689890341546	0.331980129566359
Anillin	1	1	15144	1890	0.124801901743264	0.331980129566359
AP_endonuc_2	1	1	15144	1890	0.124801901743264	0.331980129566359
ApoLp-III	1	1	15144	1890	0.124801901743264	0.331980129566359
ASC	27	7	15144	1890	0.0434878539524054	0.331980129566359
Asp_Arg_Hydrox	1	1	15144	1890	0.124801901743264	0.331980129566359
Asparaginase	1	1	15144	1890	0.124801901743264	0.331980129566359
ASXH	1	1	15144	1890	0.124801901743264	0.331980129566359
ATP-synt_C	5	2	15144	1890	0.120368237531961	0.331980129566359
Ax_dynein_light	1	1	15144	1890	0.124801901743264	0.331980129566359
B-block_TFIIIC	1	1	15144	1890	0.124801901743264	0.331980129566359
BBL5	1	1	15144	1890	0.124801901743264	0.331980129566359
BIR	9	3	15144	1890	0.0914826175541086	0.331980129566359
BORA_N	1	1	15144	1890	0.124801901743264	0.331980129566359
BPL_C	1	1	15144	1890	0.124801901743264	0.331980129566359
BTB_3	1	1	15144	1890	0.124801901743264	0.331980129566359
CALM_bind	1	1	15144	1890	0.124801901743264	0.331980129566359
CaM_bdg_C0	1	1	15144	1890	0.124801901743264	0.331980129566359
