annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
CH	25	8	15116	949	9.69613315775563e-05	9.69613315775563e-05
DUF4749	3	3	15116	949	0.00024671756843261	0.00024671756843261
7tm_1	81	14	15116	949	0.000472723738006131	0.000472723738006131
Spectrin	8	4	15116	949	0.000881009224033531	0.000881009224033531
PDZ	59	11	15116	949	0.000977382750719837	0.000977382750719837
Neur_chan_LBD	28	7	15116	949	0.00138788179376159	0.00138788179376159
Neur_chan_memb	21	6	15116	949	0.00144519144341386	0.00144519144341386
C2	38	8	15116	949	0.00211881091887115	0.00211881091887115
SH2	30	7	15116	949	0.00213809953112933	0.00213809953112933
SH3_9	23	6	15116	949	0.00241367283512956	0.00241367283512956
Ndr	2	2	15116	949	0.0039375811291346	0.0039375811291346
Pribosyl_synth	2	2	15116	949	0.0039375811291346	0.0039375811291346
Pribosyltran_N	2	2	15116	949	0.0039375811291346	0.0039375811291346
Biotin_lipoyl	6	3	15116	949	0.00427356475238622	0.00427356475238622
Biopterin_H	3	2	15116	949	0.0113193082505386	0.0113193082505386
Biotin_carb_C	3	2	15116	949	0.0113193082505386	0.0113193082505386
Biotin_carb_N	3	2	15116	949	0.0113193082505386	0.0113193082505386
DUF3585	3	2	15116	949	0.0113193082505386	0.0113193082505386
PH_9	3	2	15116	949	0.0113193082505386	0.0113193082505386
RBD	3	2	15116	949	0.0113193082505386	0.0113193082505386
Voltage_CLC	3	2	15116	949	0.0113193082505386	0.0113193082505386
RabGAP-TBC	23	5	15116	949	0.0125820982105083	0.0125820982105083
Ion_trans	41	7	15116	949	0.0129663065287839	0.0129663065287839
PH	42	7	15116	949	0.0147404030297592	0.0147404030297592
Guanylate_kin	9	3	15116	949	0.0155680980762305	0.0155680980762305
RhoGEF	25	5	15116	949	0.0179125869494756	0.0179125869494756
FA_desaturase	10	3	15116	949	0.0212168532153124	0.0212168532153124
BAR	4	2	15116	949	0.021698076172375	0.021698076172375
Cation_ATPase_C	4	2	15116	949	0.021698076172375	0.021698076172375
Cation_ATPase_N	4	2	15116	949	0.021698076172375	0.021698076172375
CPSase_L_D2	4	2	15116	949	0.021698076172375	0.021698076172375
CRAL_TRIO_2	4	2	15116	949	0.021698076172375	0.021698076172375
DDT	4	2	15116	949	0.021698076172375	0.021698076172375
DM13	4	2	15116	949	0.021698076172375	0.021698076172375
Flavodoxin_1	4	2	15116	949	0.021698076172375	0.021698076172375
Glyco_hydro_47	4	2	15116	949	0.021698076172375	0.021698076172375
PNP_UDP_1	4	2	15116	949	0.021698076172375	0.021698076172375
RasGAP	4	2	15116	949	0.021698076172375	0.021698076172375
WSD	4	2	15116	949	0.021698076172375	0.021698076172375
Bromodomain	18	4	15116	949	0.0232854403777118	0.0232854403777118
