annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
CH	25	12	15116	1045	2.50712043581831e-08	2.50712043581831e-08
Spectrin	8	6	15116	1045	2.67109860913497e-06	2.67109860913497e-06
RhoGEF	25	7	15116	1045	0.00117809654097735	0.00117809654097735
7tm_1	81	14	15116	1045	0.0012161263824418	0.0012161263824418
PH	42	9	15116	1045	0.0019480303011329	0.0019480303011329
Neur_chan_memb	21	6	15116	1045	0.00237026556173058	0.00237026556173058
Neur_chan_LBD	28	7	15116	1045	0.00241872391126803	0.00241872391126803
Myosin_tail_1	5	3	15116	1045	0.00296376271385854	0.00296376271385854
SH3_9	23	6	15116	1045	0.00391528735088645	0.00391528735088645
ENTH	2	2	15116	1045	0.00477498217117649	0.00477498217117649
KASH	2	2	15116	1045	0.00477498217117649	0.00477498217117649
Myosin_N	2	2	15116	1045	0.00477498217117649	0.00477498217117649
Ndr	2	2	15116	1045	0.00477498217117649	0.00477498217117649
PRA1	2	2	15116	1045	0.00477498217117649	0.00477498217117649
Pribosyl_synth	2	2	15116	1045	0.00477498217117649	0.00477498217117649
Pribosyltran_N	2	2	15116	1045	0.00477498217117649	0.00477498217117649
Troponin	2	2	15116	1045	0.00477498217117649	0.00477498217117649
IRK	6	3	15116	1045	0.00562322050650108	0.00562322050650108
Ion_trans	41	8	15116	1045	0.00626937861654434	0.00626937861654434
PDZ	59	10	15116	1045	0.006742189697187	0.006742189697187
OS-D	7	3	15116	1045	0.00933730907965416	0.00933730907965416
Biopterin_H	3	2	15116	1045	0.0136659143043807	0.0136659143043807
DUF4749	3	2	15116	1045	0.0136659143043807	0.0136659143043807
Na_K-ATPase	3	2	15116	1045	0.0136659143043807	0.0136659143043807
RBD	3	2	15116	1045	0.0136659143043807	0.0136659143043807
Voltage_CLC	3	2	15116	1045	0.0136659143043807	0.0136659143043807
HGTP_anticodon	8	3	15116	1045	0.0141784314267295	0.0141784314267295
ZZ	8	3	15116	1045	0.0141784314267295	0.0141784314267295
SH2	30	6	15116	1045	0.0152391323315771	0.0152391323315771
Sugar_tr	50	8	15116	1045	0.0203963535141955	0.0203963535141955
BAR	4	2	15116	1045	0.0260819218919726	0.0260819218919726
Cation_ATPase_C	4	2	15116	1045	0.0260819218919726	0.0260819218919726
Cation_ATPase_N	4	2	15116	1045	0.0260819218919726	0.0260819218919726
CRAL_TRIO_2	4	2	15116	1045	0.0260819218919726	0.0260819218919726
DDT	4	2	15116	1045	0.0260819218919726	0.0260819218919726
DM13	4	2	15116	1045	0.0260819218919726	0.0260819218919726
Filamin	4	2	15116	1045	0.0260819218919726	0.0260819218919726
Flavodoxin_1	4	2	15116	1045	0.0260819218919726	0.0260819218919726
Glyco_hydro_47	4	2	15116	1045	0.0260819218919726	0.0260819218919726
RasGAP	4	2	15116	1045	0.0260819218919726	0.0260819218919726
VHS	4	2	15116	1045	0.0260819218919726	0.0260819218919726
WSD	4	2	15116	1045	0.0260819218919726	0.0260819218919726
fn3	43	7	15116	1045	0.0267737790566165	0.0267737790566165
