Name	Length	EffectiveLength	TPM	NumReads
Anogam_AGAP004677-RA	1227	955.883	138.901261	3991.000000
Anogam_AGAP004678-RA	1035	763.883	87.189958	2002.000000
Anogam_AGAP004679-RB	1593	1321.883	18.976123	754.000000
Anogam_AGAP004680-RA	531	273.130	1.705246	14.000000
Anogam_AGAP004681-RA	411	173.778	0.000000	0.000000
Anogam_AGAP004682-RA	1650	1378.883	27.239283	1129.000000
Anogam_AGAP028431-RA	315	109.816	11.208905	37.000000
Anogam_AGAP004683-RA	2208	1936.883	16.334515	951.000000
Anogam_AGAP004684-RA	441	197.007	155.190078	919.000000
Anogam_AGAP004685-RA	3393	3121.883	15.899420	1492.000000
Anogam_AGAP004686-RA	2703	2431.883	62.490286	4568.000000
Anogam_AGAP004687-RA	189	51.042	0.000000	0.000000
Anogam_AGAP028432-RA	3666	3394.883	0.431178	44.000000
Anogam_AGAP004688-RA	1023	751.883	0.663698	15.000000
Anogam_AGAP004689-RA	1836	1564.883	12.436642	585.000000
Anogam_AGAP004690-RA	414	176.007	15.877371	84.000000
Anogam_AGAP004691-RA	1857	1585.883	22.278323	1062.000000
Anogam_AGAP028433-RA	13833	13561.883	8.850936	3608.113411
Anogam_AGAP004692-RA	5334	5062.883	22.288816	3392.000000
Anogam_AGAP004693-RA	3258	2986.883	1.704128	153.000000
Anogam_AGAP004694-RA	963	692.717	0.048026	1.000000
Anogam_AGAP028434-RA	1212	940.883	0.212151	6.000000
Anogam_AGAP028435-RA	336	122.524	7.974495	29.369522
Anogam_AGAP004695-RA	894	624.072	20.417040	383.000000
Anogam_AGAP004696-RA	1089	817.883	51.536469	1267.000000
Anogam_AGAP004698-RA	1173	901.883	26.374549	715.000000
Anogam_AGAP004699-RA	2004	1732.883	17.355147	904.000000
Anogam_AGAP004700-RA	927	656.895	38.135379	753.000000
Anogam_AGAP004701-RA	4104	3832.883	0.633616	73.000000
Anogam_AGAP028436-RA	1740	1468.883	0.000000	0.000000
Anogam_AGAP004702-RA	723	454.956	1.316231	18.000000
Anogam_AGAP004703-RA	4140	3868.883	18.289884	2127.000000
Anogam_AGAP004704-RA	1446	1174.883	12.883858	455.000000
Anogam_AGAP028437-RA	2589	2317.883	5.899014	411.000000
